,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('2_annthyroid', 0.0, 1)",0.7794327341040959,,,,,,
"('2_annthyroid', 0.0, 2)",0.45824721008794006,,,,,,
"('2_annthyroid', 0.0, 3)",0.1141728762739157,,,,,,
"('2_annthyroid', 0.01, 1)",0.5087187743228727,0.25548576185258537,,,,,
"('2_annthyroid', 0.01, 2)",0.4486504308523676,0.24092995334271647,,,,,
"('2_annthyroid', 0.01, 3)",0.11519658178872279,0.33660837797039783,,,,,
"('2_annthyroid', 0.05, 1)",0.7756798296211439,0.4259035682147143,,,,,
"('2_annthyroid', 0.05, 2)",0.4528274242680848,0.3614826696147037,,,,,
"('2_annthyroid', 0.05, 3)",0.11699413450081671,0.3820332071114189,,,,,
"('2_annthyroid', 0.1, 1)",0.7308474879889487,0.5053864642637074,,,,,
"('2_annthyroid', 0.1, 2)",0.39295957780378465,0.4900088671471324,,,,,
"('2_annthyroid', 0.1, 3)",0.11703438123041061,0.4850836641801519,,,,,
"('2_annthyroid', 0.25, 1)",0.4320054664333294,0.6933286553329207,,,,,
"('2_annthyroid', 0.25, 2)",0.4320033125717175,0.6338292259422807,,,,,
"('2_annthyroid', 0.25, 3)",0.11255395171953161,0.5808907917048045,,,,,
"('2_annthyroid', 0.5, 1)",0.47932280747853134,0.7597980098734365,,,,,
"('2_annthyroid', 0.5, 2)",0.3839341343718924,0.6861609777568621,,,,,
"('2_annthyroid', 0.5, 3)",0.11527071356928777,0.6447434816597624,,,,,
"('2_annthyroid', 0.75, 1)",0.7461628408417055,0.7702288835997017,,,,,
"('2_annthyroid', 0.75, 2)",0.48438031011436233,0.7323316114514131,,,,,
"('2_annthyroid', 0.75, 3)",0.11692695143695121,0.7189416325797877,,,,,
"('2_annthyroid', 1.0, 1)",0.6335910540746447,0.7867510914980202,,,,,
"('2_annthyroid', 1.0, 2)",0.49121121397907214,0.7810596150281021,,,,,
"('2_annthyroid', 1.0, 3)",0.11577234599749102,0.784251833629787,,,,,
"('9_census', 0.0, 1)",0.06639793552579848,,,,,,
"('9_census', 0.0, 2)",0.08019072153865903,,,,,,
"('9_census', 0.0, 3)",0.07683130434953026,,,,,,
"('9_census', 0.01, 1)",0.07164232251723324,0.06724430886791122,,,,,
"('9_census', 0.01, 2)",0.09854679326991712,0.13267472244292278,,,,,
"('9_census', 0.01, 3)",0.07579049560279826,0.08860709800102243,,,,,
"('9_census', 0.05, 1)",0.08166720855131696,0.11165900689041962,,,,,
"('9_census', 0.05, 2)",0.0791763451216486,0.1790475491182426,,,,,
"('9_census', 0.05, 3)",0.08048264368779905,0.16251818191030576,,,,,
"('9_census', 0.1, 1)",0.07412699240130344,0.14822441070411202,,,,,
"('9_census', 0.1, 2)",0.07864429696782563,0.22108122322603535,,,,,
"('9_census', 0.1, 3)",0.07289053152806753,0.18903661934615054,,,,,
"('9_census', 0.25, 1)",0.08634628162687202,0.2241978521185909,,,,,
"('9_census', 0.25, 2)",0.10594553219819046,0.32575821726223364,,,,,
"('9_census', 0.25, 3)",0.06999229790271999,0.2955995639300142,,,,,
"('9_census', 0.5, 1)",0.07409768860131495,0.2599067540768103,,,,,
"('9_census', 0.5, 2)",0.10528619314525223,0.4058931409902531,,,,,
"('9_census', 0.5, 3)",0.07140216369740134,0.37220308039023886,,,,,
"('9_census', 0.75, 1)",0.06394484653969143,0.3284422039174299,,,,,
"('9_census', 0.75, 2)",0.1052523086614071,0.4623113173914623,,,,,
"('9_census', 0.75, 3)",0.07458415403889697,0.47301825039428197,,,,,
"('9_census', 1.0, 1)",0.08330813582203692,0.38154659048368594,,,,,
"('9_census', 1.0, 2)",0.09868848314936834,0.5452602433179987,,,,,
"('9_census', 1.0, 3)",0.07651512074137604,0.5339441201452891,,,,,
"('5_campaign', 0.0, 1)",0.07873723436648947,,,,,,
"('5_campaign', 0.0, 2)",0.24014723287861345,,,,,,
"('5_campaign', 0.0, 3)",0.30129418383369394,,,,,,
"('5_campaign', 0.01, 1)",0.12843575857306938,0.20083788538031022,,,,,
"('5_campaign', 0.01, 2)",0.15374417450257927,0.1581398190201488,,,,,
"('5_campaign', 0.01, 3)",0.28368661807368717,0.24870855341385528,,,,,
"('5_campaign', 0.05, 1)",0.3263963482079427,0.2687274071193246,,,,,
"('5_campaign', 0.05, 2)",0.17616044044089366,0.23900685788795256,,,,,
"('5_campaign', 0.05, 3)",0.25107880585704195,0.2947049672181063,,,,,
"('5_campaign', 0.1, 1)",0.31838758767223624,0.2896020483286618,,,,,
"('5_campaign', 0.1, 2)",0.2265134214838786,0.25974364865276645,,,,,
"('5_campaign', 0.1, 3)",0.29457107490636747,0.3196931051197227,,,,,
"('5_campaign', 0.25, 1)",0.2629340807064958,0.32321872451010436,,,,,
"('5_campaign', 0.25, 2)",0.2635305970952594,0.31552180543701924,,,,,
"('5_campaign', 0.25, 3)",0.2610520102971,0.3486200916798264,,,,,
"('5_campaign', 0.5, 1)",0.353330232979043,0.40125237710229106,,,,,
"('5_campaign', 0.5, 2)",0.24647262342434784,0.37277924144265384,,,,,
"('5_campaign', 0.5, 3)",0.08404880978249779,0.3975128098978036,,,,,
"('5_campaign', 0.75, 1)",0.35552799444688915,0.468363537962368,,,,,
"('5_campaign', 0.75, 2)",0.29969481067142056,0.4097026161809984,,,,,
"('5_campaign', 0.75, 3)",0.10026501686085637,0.45361692709394846,,,,,
"('5_campaign', 1.0, 1)",0.38177276230470253,0.5053193898846512,,,,,
"('5_campaign', 1.0, 2)",0.30312786400858266,0.46044515472811354,,,,,
"('5_campaign', 1.0, 3)",0.3321582542426868,0.5039446110671035,,,,,
"('3_backdoor', 0.0, 1)",0.05867251417388489,,,,,,
"('3_backdoor', 0.0, 2)",0.669271328763243,,,,,,
"('3_backdoor', 0.0, 3)",0.078803243061331,,,,,,
"('3_backdoor', 0.01, 1)",0.05896440798218086,0.2294168888819956,,,,,
"('3_backdoor', 0.01, 2)",0.6730402238614189,0.6261454735586826,,,,,
"('3_backdoor', 0.01, 3)",0.07883060704002569,0.23708008515459317,,,,,
"('3_backdoor', 0.05, 1)",0.06017527164665991,0.5773330889348158,,,,,
"('3_backdoor', 0.05, 2)",0.7760443695356876,0.45193873047215444,,,,,
"('3_backdoor', 0.05, 3)",0.07919222227033643,0.810825562671168,,,,,
"('3_backdoor', 0.1, 1)",0.06043637141322279,0.7210737105834132,,,,,
"('3_backdoor', 0.1, 2)",0.780764115226845,0.438788741060309,,,,,
"('3_backdoor', 0.1, 3)",0.07920681774007818,0.749500749476056,,,,,
"('3_backdoor', 0.25, 1)",0.05422068182331478,0.6390542916375133,,,,,
"('3_backdoor', 0.25, 2)",0.7401166509138704,0.6142440954452236,,,,,
"('3_backdoor', 0.25, 3)",0.07323756317893229,0.7991257160958389,,,,,
"('3_backdoor', 0.5, 1)",0.06300888484497034,0.8332126721835901,,,,,
"('3_backdoor', 0.5, 2)",0.8121012844612517,0.8448409997808606,,,,,
"('3_backdoor', 0.5, 3)",0.11565757140196403,0.8853221250085851,,,,,
"('3_backdoor', 0.75, 1)",0.07134212868548336,0.9421270352737491,,,,,
"('3_backdoor', 0.75, 2)",0.8198230338022207,0.9126964372988887,,,,,
"('3_backdoor', 0.75, 3)",0.11496090241750717,0.9158012514982942,,,,,
"('3_backdoor', 1.0, 1)",0.07259514607919122,0.9609456749317328,,,,,
"('3_backdoor', 1.0, 2)",0.8114051454809765,0.9592927380464434,,,,,
"('3_backdoor', 1.0, 3)",0.24415253289331776,0.9813840605122361,,,,,
